,0
851,70368
852,5280483
853,4837
854,135303939
855,19993347
856,5772036
857,5280515
858,4873
859,11506447
860,2724626
861,91886355
862,6951703
863,6951704
864,5280536
865,6951711
866,6951713
867,529186
868,6951714
869,6951716
870,6951715
871,1381163
872,103212
873,6951723
874,6951724
875,5280567
876,70456
877,5280569
878,11309884
879,1151816
880,4943
881,14029650
882,4947
883,5280598
884,529251
885,529253
886,70506
887,70515
888,70520
889,140219262
890,103310
891,5280654
892,5280656
893,529296
894,529298
895,529300
896,529302
897,14029718
898,3085213
899,88576926
900,53875618
901,13800369
902,5054
903,529344
904,529345
905,529346
906,529352
907,103377
908,103379
909,103381
910,103382
911,529379
912,103401
913,70634
914,103402
915,529388
916,103404
917,5084146
918,529401
919,3019775
920,78058497
921,529426
922,5143
923,5144
924,103447
925,529438
926,2724896
927,2724897
928,2724898
929,5280802
930,70694
931,70701
932,6034479
933,562228
934,76551229
935,562246
936,5192
937,529481
938,103499
939,529496
940,70745
941,529497
942,529501
943,73045098
944,70763
945,169068
946,5234
947,70775
948,70792
949,136330
950,6427787
951,70796
952,21894285
953,70797
954,136335
955,6427789
956,169110
957,5281
958,14193827
959,103589
960,5280934
961,136363
962,3019958
963,103607
964,3019960
965,3085519
966,529623
967,103648
968,103649
969,529635
970,103653
971,103654
972,103655
973,15897831
974,103659
975,3020011
976,3020012
977,71406836
978,169211
979,169223
980,103688
981,103695
982,14619934
983,15701285
984,103719
985,3085610
986,70960
987,70962
988,5429
989,70968
990,20976953
991,136505
992,103740
993,70972
994,70991
995,58004815
996,529761
997,169321
998,529770
999,15701356
1000,103788
1001,1742210
1002,562563
1003,103814
1004,5281162
1005,5281163
1006,595340
1007,5281167
1008,5281168
1009,103826
1010,5281188
1011,5541
1012,71080
1013,103858
1014,6428088
1015,103875
1016,54465990
1017,69342666
1018,24253928
1019,5610
1020,529899
1021,562667
1022,562671
1023,529904
1024,11736563
1025,3085812
1026,529907
1027,3085817
1028,5314044
1029,5634
1030,3085845
1031,3085846
1032,3085847
1033,15341110
1034,595524
1035,562758
1036,63411783
1037,10131025
1038,20158044
1039,3085924
1040,267889
1041,3020401
1042,3020407
1043,6428289
1044,5281420
1045,431757
1046,5281426
1047,20846226
1048,5780
1049,19830424
1050,6428327
1051,71407321
1052,57579236
1053,5862
1054,14489321
1055,104170
1056,5281515
1057,5281516
1058,5281517
1059,5281519
1060,5281520
1061,5281521
1062,5281522
1063,5281525
1064,5281532
1065,5281534
1066,5281535
1067,15570693
1068,6428428
1069,22320909
1070,5281553
1071,38679
1072,6428442
1073,6428443
1074,104224
1075,12097317
1076,71474
1077,23271222
1078,5951
1079,5960
1080,5961
1081,5962
1082,5971
1083,169812
1084,169818
1085,5984
1086,137059
1087,5987
1088,5988
1089,169830
1090,38762
1091,70129520
1092,104307
1093,71544
1094,6428538
1095,6428543
1096,6428544
1097,6428546
1098,91723653
1099,6027
1100,6428555
1101,235414
1102,6428570
1103,54106013
1104,6428574
1105,6047
1106,6428573
1107,6050
1108,71590
1109,6054
1110,6057
1111,3086255
1112,56924101
1113,129701832
1114,38866
1115,595928
1116,6106
1117,5937114
1118,6109
1119,5281758
1120,6115
1121,6116
1122,530404
1123,104421
1124,6119
1125,530406
1126,104425
1127,6137
1128,6140
1129,5281794
1130,104453
1131,18159637
1132,129701911
1133,104471
1134,101324831
1135,104486
1136,104487
1137,6184
1138,3086387
1139,71571511
1140,170040
1141,6202
1142,3086398
1143,104512
1144,137281
1145,104513
1146,6212
1147,6213
1148,6214
1149,6224
1150,6251
1151,3086443
1152,6428782
1153,6428785
1154,6428793
1155,6267
1156,140318844
1157,6268
1158,6274
1159,6428802
1160,6276
1161,5281929
1162,3774604
1163,13965454
1164,6287
1165,6288
1166,44144782
1167,22976662
1168,104598
1169,6232217
1170,11344031
1171,6306
1172,5281955
1173,104620
1174,3578033
1175,6322
1176,20519097
1177,20519098
1178,20519099
1179,6329
1180,6341
1181,6342
1182,6343
1183,11344071
1184,6348
1185,104653
1186,11770062
1187,6354
1188,6363
1189,563420
1190,6364
1191,6378
1192,6386
1193,6387
1194,57350395
1195,6428926
1196,6428927
1197,6428928
1198,6428929
1199,170239
1200,39172
1201,6405
1202,6428935
1203,6428938
1204,6416
1205,104721
1206,104722
1207,6417
1208,6425
1209,6428959
1210,6428969
1211,170284
1212,12261677
1213,6448
1214,6428985
1215,6428986
1216,5282108
1217,5282109
1218,5282110
1219,6428990
1220,6428995
1221,6482
1222,6429016
1223,6493
1224,6495
1225,6501
1226,6504
1227,6505
1228,6506
1229,6507
1230,6429039
1231,6514
1232,170358
1233,596344
1234,6429059
1235,6532
1236,6533
1237,6535
1238,5282184
1239,137614
1240,6544
1241,6548
1242,6549
1243,596375
1244,6556
1245,12523933
1246,6558
1247,6557
1248,6560
1249,6561
1250,6562
1251,19863975
1252,6568
1253,6569
1254,6570
1255,6429101
1256,6429107
1257,6581
1258,6429110
1259,6584
1260,6590
1261,6609
1262,6612
1263,9837013
1264,6616
1265,117283293
1266,6623
1267,6631
1268,399848
1269,6632
1270,6643
1271,45160950
1272,6651
1273,6652
1274,6653
1275,6654
1276,6657
1277,6658
1278,6660
1279,6429195
1280,6669
1281,5708313
1282,6429214
1283,6429218
1284,92281379
1285,5380647
1286,14195262
1287,90479169
1288,18356806
1289,5478986
1290,6429261
1291,6429262
1292,6735
1293,6736
1294,6429268
1295,105050
1296,6429274
1297,6753
1298,6429282
1299,137829
1300,3250790
1301,6429290
1302,72300
1303,6429292
1304,6777
1305,6429307
1306,6429308
1307,6781
1308,6429310
1309,170623
1310,6429317
1311,6429325
1312,12950159
1313,6804
1314,6429333
1315,6429343
1316,6819
1317,6826
1318,6835
1319,170687
1320,5282505
1321,5905098
1322,6873
1323,6874
1324,105179
1325,6877
1326,269023
1327,6881
1328,6885
1329,10197734
1330,39655
1331,6887
1332,137980
1333,6912
1334,170755
1335,6915
1336,6919
1337,6920
1338,13900554
1339,6930
1340,5315347
1341,6937
1342,6943
1343,6944
1344,20224800
1345,44145443
1346,6949
1347,68852524
1348,10197810
1349,6970
1350,39742
1351,54172484
1352,6985
1353,6986
1354,6987
1355,6988
1356,6989
1357,170833
1358,6997
1359,6998
1360,7002
1361,5282650
1362,7007
1363,122461027
1364,7012
1365,3021670
1366,7016
1367,7017
1368,7027
1369,39801
1370,7037
1371,7041
1372,7043
1373,7045
1374,7047
1375,7055
1376,7058
1377,5282707
1378,7060
1379,12950421
1380,7059
1381,5282708
1382,5282709
1383,5282710
1384,5282714
1385,5282706
1386,5282716
1387,5282713
1388,5282718
1389,72607
1390,9837467
1391,5282723
1392,5282724
1393,5282726
1394,5282729
1395,5282735
1396,7092
1397,7094
1398,7095
1399,5282743
1400,138176
1401,170948
1402,138187
1403,7118
1404,7119
1405,7122
1406,105426
1407,53943254
1408,7127
1409,7128
1410,7129
1411,7130
1412,11344862
1413,7136
1414,7137
1415,170977
1416,138212
1417,7144
1418,138217
1419,7146
1420,7147
1421,7148
1422,7149
1423,7150
1424,7151
1425,39914
1426,6429690
1427,7165
1428,7166
1429,7169
1430,7170
1431,7175
1432,5315592
1433,6429708
1434,14818318
1435,7184
1436,7187
1437,72724
1438,7189
1439,138260
1440,7193
1441,7194
1442,7196
1443,7197
1444,564260
1445,105510
1446,105513
1447,7211
1448,105516
1449,16063533
1450,23665710
1451,7221
1452,7222
1453,7224
1454,7225
1455,105533
1456,7237
1457,16063567
1458,7249
1459,7267
1460,7268
1461,7275
1462,7276
1463,7019633
1464,7283
1465,7284
1466,105591
1467,7288
1468,105594
1469,105595
1470,5282940
1471,7294
1472,7298
1473,7301
1474,7302
1475,7304
1476,236687
1477,44145813
1478,73997463
1479,73997464
1480,7334
1481,7335
1482,7336
1483,72872
1484,105643
1485,105645
1486,7341
1487,7343
1488,7344
1489,7342
1490,7346
1491,105650
1492,105651
1493,3021997
1494,105652
1495,7351
1496,7352
1497,7353
1498,7354
1499,138420
1500,7358
1501,7359
1502,7360
1503,7361
1504,7362
1505,7363
1506,7364
1507,105664
1508,7366
1509,3775692
1510,7381
1511,72918
1512,72919
1513,7391
1514,7392
1515,7393
1516,3022051
1517,7405
1518,7406
1519,7407
1520,7409
1521,7410
1522,7413
1523,7416
1524,138491
1525,138508
1526,7438
1527,7439
1528,14064911
1529,56597780
1530,105755
1531,105758
1532,7455
1533,7456
1534,7459
1535,7460
1536,7461
1537,7462
1538,7463
1539,105764
1540,7465
1541,7467
1542,7469
1543,7476
1544,5315892
1545,7478
1546,44145973
1547,16063805
1548,564550
1549,5315912
1550,7499
1551,7500
1552,7501
1553,7505
1554,7507
1555,7509
1556,7519
1557,7520
1558,7523
1559,87268709
1560,5315941
1561,73047398
1562,7528
1563,7530
1564,7531
1565,105844
1566,7557
1567,7559
1568,7562
1569,1252759
1570,73114
1571,6430107
1572,7580
1573,7581
1574,7583
1575,7584
1576,7585
1577,7590
1578,105896
1579,7593
1580,7599
1581,7600
1582,7601
1583,40380
1584,7614
1585,7616
1586,7622
1587,6430151
1588,3022280
1589,6430159
1590,7632
1591,54009296
1592,7633
1593,7635
1594,6430162
1595,73174
1596,7643
1597,7644
1598,5283292
1599,7646
1600,7649
1601,7650
1602,7651
1603,6430180
1604,7652
1605,7654
1606,7655
1607,54238690
1608,7657
1609,7658
1610,7659
1611,5283308
1612,7660
1613,11967982
1614,7661
1615,7663
1616,7664
1617,7662
1618,7667
1619,5283316
1620,5283317
1621,5283318
1622,7672
1623,5283321
1624,7674
1625,5283324
1626,7678
1627,6364671
1628,5283328
1629,5283329
1630,7685
1631,7687
1632,5283335
1633,5283337
1634,5283336
1635,5283339
1636,5283338
1637,7695
1638,5283345
1639,5283348
1640,5283349
1641,7702
1642,7703
1643,7704
1644,5283352
1645,597531
1646,7708
1647,7707
1648,7710
1649,7711
1650,7712
1651,5283361
1652,7714
1653,5283363
1654,5283356
1655,5283357
1656,5283366
1657,5283358
1658,7720
1659,7725
1660,7728
1661,7731
1662,7733
1663,5283381
1664,7738
1665,7742
1666,7745
1667,138818
1668,7749
1669,7751
1670,7755
1671,7757
1672,7758
1673,7761
1674,7762
1675,7765
1676,7766
1677,13868632
1678,7768
1679,7770
1680,7771
1681,7772
1682,7775
1683,7778
1684,7779
1685,6430307
1686,7781
1687,7790
1688,7792
1689,7793
1690,7794
1691,7795
1692,6430321
1693,7797
1694,7799
1695,7800
1696,7802
1697,7803
1698,15310469
1699,7820
1700,5283468
1701,7822
1702,3022477
1703,7824
1704,7826
1705,7829
1706,94936725
1707,78093980
1708,53649053
1709,237217
1710,7843
1711,7847
1712,3022504
1713,7848
1714,7852
1715,106157
1716,106158
1717,7858
1718,7859
1719,7860
1720,40631
1721,7865
1722,18718393
1723,7870
1724,5086912
1725,21470922
1726,7888
1727,7894
1728,7895
1729,7896
1730,7900
1731,7904
1732,7909
1733,7910
1734,106216
1735,106217
1736,7914
1737,7915
1738,7916
1739,7918
1740,7921
1741,7924
1742,7929
1743,71409403
1744,7936
1745,7937
1746,7938
1747,7943
1748,7945
1749,7947
1750,7948
1751,71409423
1752,11116304
1753,7953
1754,237332
1755,7957
1756,7958
1757,7959
1758,23666456
1759,7963
1760,7966
1761,7967
1762,7968
1763,7969
1764,7970
1765,7974
1766,7975
1767,7976
1768,7981
1769,7983
1770,7984
1771,7986
1772,7989
1773,23502647
1774,7991
1775,106297
1776,7996
1777,7997
1778,11378500
1779,22486853
1780,8007
1781,8009
1782,1711945
1783,8012
1784,8013
1785,8019
1786,8020
1787,8021
1788,16129878
1789,8023
1790,40787
1791,8025
1792,8026
1793,8027
1794,8028
1795,8029
1796,8030
1797,12590944
1798,8034
1799,8035
1800,8038
1801,8042
1802,8047
1803,8048
1804,8049
1805,8050
1806,8051
1807,8052
1808,8053
1809,3022715
1810,8060
1811,11116415
1812,8063
1813,8067
1814,8071
1815,8073
1816,8075
1817,8076
1818,8077
1819,13508494
1820,68132751
1821,8078
1822,8082
1823,8087
1824,8090
1825,8091
1826,8092
1827,8093
1828,8094
1829,8095
1830,8102
1831,8103
1832,8104
1833,8106
1834,8110
1835,8112
1836,8113
1837,15540144
1838,8116
1839,8117
1840,8118
1841,8121
1842,1712058
1843,8122
1844,1712057
1845,8125
1846,8126
1847,8129
1848,8130
1849,8133
1850,8134
1851,8136
1852,8137
1853,8138
1854,8139
1855,106442
1856,8141
1857,106443
1858,8144
1859,13213649
1860,8146
1861,8150
1862,1712087
1863,565208
1864,73689
1865,565210
1866,73690
1867,8158
1868,8159
1869,8160
1870,6365152
1871,8163
1872,8164
1873,303078
1874,8167
1875,8169
1876,8172
1877,8174
1878,8175
1879,8176
1880,8180
1881,8181
1882,8182
1883,8183
1884,8184
1885,8185
1886,6430713
1887,237561
1888,8186
1889,8187
1890,3022846
1891,8191
1892,8193
1893,8194
1894,8195
1895,8198
1896,8201
1897,8205
1898,8207
1899,8209
1900,73750
1901,106521
1902,106522
1903,71442458
1904,8221
1905,8222
1906,6430754
1907,106530
1908,57483301
1909,6430759
1910,12361768
1911,73772
1912,53846067
1913,13180982
1914,3022909
1915,8254
1916,8257
1917,11378760
1918,19963983
1919,71311442
1920,6430804
1921,6430805
1922,73818
1923,8283
1924,138418
1925,8294
1926,73830
1927,8298
1928,8299
1929,168009840
1930,168009843
1931,73847
1932,8314
1933,73850
1934,19964035
1935,19964037
1936,3022986
1937,8347
1938,53977245
1939,6430878
1940,12263583
1941,6430879
1942,6430888
1943,8361
1944,8362
1945,8363
1946,8364
1947,8365
1948,6430892
1949,106672
1950,106673
1951,8369
1952,106674
1953,8375
1954,106684
1955,22323390
1956,6430920
1957,106697
1958,6365389
1959,8400
1960,145793235
1961,8405
1962,106711
1963,106713
1964,106714
1965,8419
1966,73955
1967,106725
1968,73961
1969,106729
1970,106731
1971,106732
1972,106730
1973,57417966
1974,106735
1975,8432
1976,3023083
1977,8434
1978,106739
1979,106740
1980,8438
1981,8439
1982,106742
1983,106745
1984,106746
1985,5316860
1986,13312253
1987,106748
1988,8446
1989,532739
1990,8452
1991,106756
1992,8454
1993,6365449
1994,6365451
1995,106766
1996,5316880
1997,106770
1998,8467
1999,8468
2000,8469
2001,74004
2002,8471
2003,74008
2004,8473
2005,74010
2006,74005
2007,139550
2008,10035488
2009,11116832
2010,106787
2011,106788
2012,6431015
2013,106799
2014,8499
2015,8500
2016,41270
2017,106813
2018,74048
2019,6431042
2020,106819
2021,41285
2022,106823
2023,11608392
2024,106826
2025,3023179
2026,106828
2027,106829
2028,106827
2029,8530
2030,5382490
2031,11084123
2032,54272351
2033,8554
2034,106862
2035,74096
2036,106866
2037,106869
2038,102015349
2039,106871
2040,74112
2041,6365572
2042,8582
2043,598409
2044,44147085
2045,74137
2046,2793883
2047,71049629
2048,106917
2049,8615
2050,6365607
2051,3023273
2052,6431144
2053,6431148
2054,6431151
2055,3023280
2056,5317045
2057,106936
2058,8633
2059,565690
2060,8635
2061,106940
2062,106937
2063,74174
2064,139711
2065,86745536
2066,106951
2067,8655
2068,168010193
2069,8658
2070,106963
2071,172501
2072,74201
2073,6431196
2074,106973
2075,139743
2076,1384928
2077,6365665
2078,6431207
2079,106997
2080,6431223
2081,6431224
2082,8697
2083,8698
2084,6365696
2085,8710
2086,8712
2087,68985354
2088,8714
2089,5284369
2090,19702290
2091,8723
2092,5382677
2093,107035
2094,8736
2095,74273
2096,8738
2097,3023392
2098,74279
2099,27796011
2100,8748
2101,8751
2102,8752
2103,107057
2104,107059
2105,8759
2106,11084346
2107,8763
2108,107068
2109,8767
2110,8768
2111,6365761
2112,107071
2113,5284421
2114,11379273
2115,8784
2116,8785
2117,8786
2118,6365780
2119,8791
2120,8792
2121,8794
2122,107099
2123,107098
2124,8797
2125,303710
2126,303711
2127,10920542
2128,41569
2129,41570
2130,107113
2131,74346
2132,8815
2133,74351
2134,24978034
2135,6365812
2136,8821
2137,56959606
2138,14262903
2139,74360
2140,74361
2141,74365
2142,8830
2143,5317247
2144,8831
2145,8833
2146,8834
2147,8835
2148,5284490
2149,8843
2150,8842
2151,8844
2152,1548943
2153,107152
2154,5284499
2155,10887828
2156,57254550
2157,5284503
2158,5317271
2159,8857
2160,8858
2161,5284507
2162,107166
2163,8863
2164,107168
2165,8868
2166,8871
2167,74408
2168,6365867
2169,8878
2170,8888
2171,8892
2172,8894
2173,8900
2174,8901
2175,5317319
2176,8905
2177,8907
2178,8908
2179,8909
2180,238286
2181,107217
2182,8914
2183,8918
2184,41690
2185,1549018
2186,1549019
2187,74458
2188,107231
2189,1549025
2190,1549026
2191,140001
2192,238307
2193,10953450
2194,1549040
2195,1549041
2196,6431476
2197,1549045
2198,9937654
2199,6431477
2200,8953
2201,3023610
2202,107271
2203,107272
2204,74507
2205,6857487
2206,85828368
2207,5317401
2208,7021340
2209,8991
2210,1549095
2211,6365994
2212,172843
2213,172844
2214,9005
2215,6365995
2216,9007
2217,41771
2218,5743410
2219,1549107
2220,9012
2221,9013
2222,11019061
2223,9015
2224,9016
2225,9017
2226,107318
2227,1549109
2228,74556
2229,9020
2230,107327
2231,9024
2232,9025
2233,9027
2234,107333
2235,107334
2236,3023704
2237,23667548
2238,1713001
2239,107381
2240,57090934
2241,6366072
2242,15606649
2243,11805563
2244,6366079
2245,74626
2246,74627
2247,107396
2248,57320331
2249,53781394
2250,4072341
2251,74648
2252,238498
2253,74667
2254,4137900
2255,23667638
2256,23667645
2257,5317570
2258,74690
2259,139600838
2260,11969488
2261,6857681
2262,17245138
2263,21865427
2264,3023838
2265,3023839
2266,3023840
2267,10986465
2268,74728
2269,10953718
2270,107519
2271,173058
2272,107526
2273,57353225
2274,5743639
2275,42011
2276,74786
2277,107557
2278,9253
2279,74791
2280,9256
2281,107561
2282,9258
2283,9261
2284,74807
2285,6005821
2286,10888261
2287,566345
2288,9290
2289,9291
2290,3023950
2291,3023951
2292,107614
2293,9316
2294,12231788
2295,107631
2296,74879
2297,3024003
2298,54437003
2299,10953872
2300,74897
2301,74901
2302,74904
2303,74914
2304,74915
2305,205986
2306,107689
2307,6366381
2308,533700
2309,1549521
2310,3024081
2311,5317844
2312,206037
2313,140511
2314,74977
2315,71443682
2316,6366434
2317,6399214
2318,173312
2319,9473
2320,6432005
2321,75024
2322,75028
2323,75033
2324,22750490
2325,75045
2326,42296
2327,56960321
2328,78062915
2329,1549660
2330,66823518
2331,140649
2332,9589
2333,5318017
2334,5318018
2335,75140
2336,53421444
2337,9609
2338,75153
2339,3024273
2340,6366609
2341,5318042
2342,129279387
2343,3024287
2344,75187
2345,75189
2346,118072769
2347,75208
2348,1549778
2349,5318101
2350,5318103
2351,6432221
2352,173534
2353,173535
2354,173536
2355,75232
2356,24847851
2357,10954220
2358,24847856
2359,10561017
2360,71443963
2361,71443964
2362,6432254
2363,75263
2364,6366719
2365,4564493
2366,11085337
2367,11183648
2368,42538
2369,6432305
2370,6432308
2371,75319
2372,75320
2373,75321
2374,91694682
2375,75364
2376,5383805
2377,5383810
2378,9862
2379,9865
2380,697993
2381,5744267
